Base location,Destination,Mode of transport,CO2 Emission (in Kg)
USA,Italy,Sea,49.96274568
Japan,London,Air,4.549013129
Japan,Italy,Train,1775.593239
Germany,London,Air,66.36475542
Belgium,Italy,Train,1025.684421
Belgium,Italy,Sea,340.8387469
USA,Canada,Sea,316.5327067
Germany,London,Air,10.86521159
Japan,Canada,Air,11.48168987
Germany,Italy,Air,12.13680998
Belgium,London,Train,4048.902488
USA,Brazil,Sea,227.5966121
USA,Italy,Air,10.14166009
Germany,Brazil,Train,2157.514331
China,Italy,Train,501.3367701
Belgium,Australia,Air,1.727993952
Belgium,London,Air,12.1070742
Germany,Australia,Train,3700.558942
Germany,London,Train,2133.601763
Japan,Italy,Sea,199.8318997
USA,Canada,Train,427.3064698
Germany,Brazil,Train,5910.206629
China,Canada,Train,374.8959904
Germany,Australia,Sea,697.2141288
USA,Italy,Air,19.01021209
China,Canada,Air,6.012443156
China,Canada,Air,3.86980357
Germany,Italy,Air,17.04018696
Belgium,Australia,Air,14.78458792
Belgium,London,Train,3740.457996
USA,Canada,Train,156.3464725
Japan,Canada,Sea,365.034098
Germany,Canada,Air,14.85633813
Japan,Canada,Air,20.67107533
Belgium,Australia,Sea,97.73281376
Germany,Brazil,Air,10.90201861
Germany,Italy,Train,1994.39059
China,Australia,Train,314.6461527
Germany,London,Air,2.534124605
Japan,Canada,Sea,192.9264867
Belgium,London,Train,1410.830741
Japan,Italy,Train,1183.182017
Germany,Canada,Sea,61.006223
Belgium,Italy,Sea,455.081679
Belgium,Canada,Sea,118.8477376
Belgium,Brazil,Air,3.044446245
USA,Italy,Air,35.33368326
USA,Italy,Train,7056.537049
China,Brazil,Sea,158.3380088
Germany,Italy,Train,2554.841632
China,Canada,Train,3864.143354
Germany,London,Air,24.0957945
Belgium,London,Air,6.924531116
China,Canada,Air,6.035513258
Japan,Canada,Air,2.875740617
Japan,Canada,Sea,183.8548007
USA,Italy,Air,3.56391011
China,Canada,Sea,860.5163102
China,Canada,Train,640.7869841
USA,Brazil,Air,14.61903638
China,London,Train,930.6553237
USA,London,Sea,52.09996933
USA,Brazil,Sea,35.53710754
Belgium,London,Air,48.54234437
Germany,Canada,Train,2310.902476
USA,Brazil,Train,759.6465864
Japan,Brazil,Train,2394.553652
Germany,London,Sea,302.745726
China,London,Train,816.8092073
China,Australia,Air,43.13298344
Japan,London,Sea,32.82286664
USA,Canada,Sea,262.4353346
Germany,London,Sea,308.6939365
Belgium,Australia,Train,1511.342075
Belgium,Australia,Train,2047.741212
USA,Italy,Train,927.4223165
Japan,Australia,Air,30.17453991
USA,Brazil,Train,4097.249054
USA,Canada,Train,4639.501441
Belgium,Brazil,Air,11.87673844
Germany,Brazil,Sea,123.0750631
USA,Italy,Air,43.70954956
China,Brazil,Air,13.75486493
USA,Australia,Sea,92.04460108
China,Brazil,Air,9.007568495
Germany,Brazil,Sea,265.1294373
